title,total_sales,na_sales,pal_sales,other_sales,console,genre,publisher,developer,release_date
Harry Potter: Quidditch World Cup,1.8800000000000001,1.17,0.56,0.15000000000000013,"GBA, GC, PC, PS2, XB",Sports,Electronic Arts,Electronic Arts,2003-10-28
Sly 2: Band of Thieves,1.8800000000000001,0.88,0.74,0.26,"PS2, PSN",Platform,Sony Computer Entertainment,Sucker Punch,2004-09-14
The Witcher 2: Assassins of Kings,1.88,0.8103448275862067,0.9616091954022988,0.10804597701149424,"PC, X360",Role-Playing,Atari,CD Projekt Red Studio,2011-05-17
Hot Shots Golf 2,1.88,0.25,0.12,1.51,"PS, PSN",Sports,Sony Computer Entertainment,Clap Hanz,2000-02-29
Game Party 2,1.88,1.28,0.44,0.15999999999999992,Wii,Misc,Midway Games,FarSight Studios,2008-10-06
Medal of Honor: European Assault (All Region sales),1.88,0.89,0.69,0.3,PS2,Shooter,Electronic Arts,EA Los Angeles,2005-06-07
Persona 5,1.88,0.6863492063492063,0.3580952380952381,0.8355555555555554,"PS3, PS4",Role-Playing,Atlus,Atlus,2017-04-04
inFAMOUS 2,1.87,1.05,0.48,0.34,"PS3, PSN",Action,Sony Computer Entertainment,Sucker Punch Productions,2011-06-07
FIFA 2000,1.87,0.22,1.47,0.18000000000000002,"GB, PS",Sports,EA Sports,EA Canada,1999-10-09
Castlevania,1.87,0.9852688172043012,0.16086021505376347,0.7238709677419356,"N64, NES, PC, Series, VC",Platform,Konami,Konami,1986-09-26
Sonic Classic Collection,1.86,0.94,0.74,0.18000000000000016,DS,Platform,Sega,Sonic Team,2010-03-02
The Legend of Dragoon,1.86,0.9349732620320856,0.43764705882352944,0.48737967914438507,"PS, PS5, PSN",Role-Playing,Sony Computer Entertainment,SCEI,2000-06-11
The Legend of Zelda: Oracle of Seasons,1.86,0.87,0.52,0.47,GBC,Adventure,Nintendo,Flagship,2001-05-13
Scarface: The World is Yours,1.8599999999999999,1.49,0.18,0.18999999999999995,"PC, PS2, Wii, XB",Adventure,Sierra Entertainment,Radical Entertainment,2006-10-08
NHL 15,1.8599999999999999,1.21,0.39,0.2599999999999998,"PS3, PS4, X360, XOne",Sports,EA Sports,EA Canada,2014-09-09
Tiger Woods PGA Tour 12: The Masters,1.8599999999999999,1.12,0.53,0.20999999999999974,"PC, PS3, Wii, X360",Sports,EA Sports,EA Tiburon,2011-03-29
Corvette,1.85,1.03,0.63,0.18999999999999995,"GBA, PC, PS2, XB",Racing,Global Star Software,Steel Monkeys,2003-11-11
Jak 3,1.85,1.33,0.49,0.030000000000000027,"PS2, PS4",Platform,Sony Computer Entertainment,Naughty Dog,2004-11-09
Phineas and Ferb,1.85,1.33,0.37,0.1499999999999999,DS,Action,Disney Interactive Studios,Disney Interactive Studios,2009-02-03
Top Spin 3,1.85,0.4652046783625731,1.2549707602339182,0.1298245614035088,"DS, PS3, Wii, X360",Sports,2K Sports,Pam Development,2008-06-23
Rabbids Go Home,1.8499999999999999,0.6,1.04,0.20999999999999974,"DS, Wii",Adventure,Ubisoft,Ubisoft Montpellier,2009-11-03
South Park,1.8499999999999999,1.29,0.5,0.05999999999999983,"GB, N64, PC, PS",Shooter,Acclaim Entertainment,Iguana Entertainment,1998-12-12
High School Musical 3: Senior Year DANCE!,1.84,1.0647191011235957,0.6408988764044945,0.13438202247191014,"PC, PS2, Wii, X360",Misc,Disney Interactive Studios,Page 44 Studios,2008-10-21
Forza Horizon 4,1.84,0.7360000000000001,0.944864864864865,0.15913513513513516,"PC, XOne, XS",Racing,Microsoft Studios,Playground Games,2018-10-02
Gran Turismo Concept 2001 Tokyo,1.84,-0.010000000000000009,1.1,0.75,PS2,Racing,Unknown,Polyphony Digital,
Sniper Elite V2,1.8399999999999999,0.8354594594594594,0.6962162162162162,0.3083243243243243,"PC, PS3, WiiU, X360",Shooter,505 Games,Rebellion Developments,2012-04-30
Petz: Catz 2,1.83,1.09,0.55,0.18999999999999995,"DS, PC, PS2, Wii",Simulation,Ubisoft,Yuke's Media Creations,2007-11-14
2 Games in 1: Sonic Advance & ChuChu Rocket!,1.83,1.31,0.49,0.030000000000000027,GBA,Misc,THQ,Sega,2005-11-11
Crysis 3,1.83,0.77,0.8,0.26,"PC, PS3, X360",Shooter,Electronic Arts,Crytek,2013-02-19
Jet Moto,1.83,1.33,0.4,0.1,"PC, PS, PSN",Racing,Sony Computer Entertainment,SingleTrac,1996-10-31
NCAA Football 12,1.83,1.72,0.07383184316115368,0.03616815683884641,"PS3, X360",Sports,EA Sports,EA Tiburon,2011-07-12
Marvel Nemesis: Rise of the Imperfects,1.83,1.52,0.16,0.15000000000000013,"DS, GC, PS2, PSP, XB",Fighting,Electronic Arts,Nihilistic Software,2005-09-20
